date,id1,id2,object,value,event,devices
2021-12-21 12:23:29,4,1,полукопченые колбасы,7,Температура вышла за пределы допустимого,sensor_1
2021-12-21 12:25:01,5,1,полукопченые колбасы,5,Температура в пределах допустимого,sensor_1
2021-12-21 12:42:27,6,2,вареные колбасы,17,Температура вышла за пределы допустимого,sensor_2
2021-12-21 12:44:10,7,2,вареные колбасы,4,Температура в пределах допустимого,sensor_2
2021-12-21 12:49:45,8,1,полукопченые колбасы,7,Температура вышла за пределы допустимого,sensor_1
2021-12-21 12:50:12,9,1,полукопченые колбасы,5,Температура в пределах допустимого,sensor_1
2021-12-21 12:53:31,10,1,полукопченые колбасы,7,Температура вышла за пределы допустимого,sensor_1
2021-12-21 12:55:58,11,1,полукопченые колбасы,5,Температура в пределах допустимого,sensor_1
2021-12-21 14:28:41,12,1,полукопченые колбасы,7,Температура вышла за пределы допустимого,sensor_1
2021-12-21 14:29:51,13,2,вареные колбасы,7,Температура вышла за пределы допустимого,sensor_2
2021-12-21 14:30:51,14,2,вареные колбасы,5,Температура в пределах допустимого,sensor_2
2021-12-21 15:20:01,15,2,вареные колбасы,8,Температура вышла за пределы допустимого,sensor_2
2021-12-21 15:30:02,16,7,сырое мясо,6,Температура вышла за пределы допустимого,sensor_7
2021-12-21 15:32:28,17,1,полукопченые колбасы,4,Температура в пределах допустимого,sensor_1
2021-12-21 15:32:28,18,2,вареные колбасы,5,Температура в пределах допустимого,sensor_2
2021-12-21 16:45:01,19,7,сырое мясо,2,Температура в пределах допустимого,sensor_7
2021-12-21 17:20:01,20,2,вареные колбасы,8,Температура вышла за пределы допустимого,sensor_2
2021-12-21 17:30:00,21,1,полукопченые колбасы,7,Температура вышла за пределы допустимого,sensor_1
2021-12-21 18:20:01,22,1,полукопченые колбасы,4,Температура в пределах допустимого,sensor_1
2021-12-21 18:20:01,23,2,вареные колбасы,5,Температура в пределах допустимого,sensor_2
2021-12-21 21:20:01,24,2,вареные колбасы,8,Температура вышла за пределы допустимого,sensor_2
2021-12-21 21:40:01,25,2,вареные колбасы,6,Температура в пределах допустимого,sensor_2
2021-12-21 21:55:01,26,7,сырое мясо,5,Температура вышла за пределы допустимого,sensor_7
2021-12-21 22:05:01,27,7,сырое мясо,4,Температура в пределах допустимого,sensor_7
2021-12-21 23:15:00,28,1,полукопченые колбасы,7,Температура вышла за пределы допустимого,sensor_1
2021-12-22 00:00:00,29,1,полукопченые колбасы,6,Температура в пределах допустимого,sensor_1
2021-12-22 00:35:01,30,7,сырое мясо,6,Температура вышла за пределы допустимого,sensor_7
2021-12-22 01:10:02,31,7,сырое мясо,4,Температура в пределах допустимого,sensor_7
2021-12-22 01:15:01,32,5,молочная продукция,8,Температура вышла за пределы допустимого,sensor_5
2021-12-22 01:35:00,33,2,вареные колбасы,8,Температура вышла за пределы допустимого,sensor_2
